observation_timestamp,kwh,temp
2021-01-01 00:00:00,0.0,-2.18
2021-01-01 01:00:00,0.0,-1.18
2021-01-01 02:00:00,0.0,-0.96
2021-01-01 03:00:00,0.0,-0.96
2021-01-01 04:00:00,0.0,-0.41
2021-01-01 05:00:00,0.0,-0.41
2021-01-01 06:00:00,0.13,0.15
2021-01-01 07:00:00,1.35,0.7
2021-01-01 08:00:00,3.32,0.06
2021-01-01 09:00:00,15.56,0.65
2021-01-01 10:00:00,7.99,1.4
2021-01-01 11:00:00,6.97,2.32
2021-01-01 12:00:00,5.42,3.6
2021-01-01 13:00:00,4.61,3.89
2021-01-01 14:00:00,4.71,4.87
2021-01-01 15:00:00,3.03,4.85
2021-01-01 16:00:00,3.05,4.07
2021-01-01 17:00:00,2.6,3.71
2021-01-01 18:00:00,0.0,3.34
2021-01-01 19:00:00,0.0,3.89
2021-01-01 20:00:00,0.0,3.74
2021-01-01 21:00:00,0.0,3.34
2021-01-01 22:00:00,0.0,3.41
2021-01-01 23:00:00,0.0,3.14
2021-01-02 00:00:00,0.0,2.79
2021-01-02 01:00:00,0.0,2.33
2021-01-02 02:00:00,0.0,1.96
2021-01-02 03:00:00,0.0,1.12
2021-01-02 04:00:00,0.66,0.56
2021-01-02 05:00:00,1.25,0.41
2021-01-02 06:00:00,1.36,0.21
2021-01-02 07:00:00,6.88,-0.29
2021-01-02 08:00:00,10.13,0.77
2021-01-02 09:00:00,7.67,1.11
2021-01-02 10:00:00,3.68,1.58
2021-01-02 11:00:00,4.67,2.49
2021-01-02 12:00:00,3.39,3.01
2021-01-02 13:00:00,3.33,3.04
2021-01-02 14:00:00,3.58,3.89
2021-01-02 15:00:00,2.37,3.49
2021-01-02 16:00:00,0.39,2.08
2021-01-02 17:00:00,2.18,1.89
2021-01-02 18:00:00,1.46,0.88
2021-01-02 19:00:00,2.09,0.77
2021-01-02 20:00:00,1.55,1.12
2021-01-02 21:00:00,1.23,1.47
2021-01-02 22:00:00,0.0,1.47
2021-01-02 23:00:00,0.0,1.67
2021-01-03 00:00:00,0.0,1.67
2021-01-03 01:00:00,0.0,1.67
2021-01-03 02:00:00,0.0,2.23
2021-01-03 03:00:00,0.0,2.78
2021-01-03 04:00:00,0.0,2.44
2021-01-03 05:00:00,0.06,2.78
2021-01-03 06:00:00,1.27,2.78
2021-01-03 07:00:00,1.25,3.14
2021-01-03 08:00:00,1.31,3.34
2021-01-03 09:00:00,12.79,3.34
2021-01-03 10:00:00,8.37,3.89
2021-01-03 11:00:00,4.94,4.25
2021-01-03 12:00:00,3.93,4.6
2021-01-03 13:00:00,3.17,4.25
2021-01-03 14:00:00,1.73,4.6
2021-01-03 15:00:00,2.14,4.25
2021-01-03 16:00:00,1.79,3.69
2021-01-03 17:00:00,5.28,3.76
2021-01-03 18:00:00,3.94,4.25
2021-01-03 19:00:00,3.2,3.74
2021-01-03 20:00:00,0.53,3.69
2021-01-03 21:00:00,0.0,3.74
2021-01-03 22:00:00,0.0,3.74
2021-01-03 23:00:00,0.0,3.69
2021-01-04 00:00:00,0.0,3.69
2021-01-04 01:00:00,0.0,3.69
2021-01-04 02:00:00,0.0,3.69
2021-01-04 03:00:00,0.0,3.69
2021-01-04 04:00:00,0.69,3.14
2021-01-04 05:00:00,1.58,2.93
2021-01-04 06:00:00,1.48,2.58
2021-01-04 07:00:00,2.81,2.58
2021-01-04 08:00:00,11.53,2.58
2021-01-04 09:00:00,5.39,3.14
2021-01-04 10:00:00,3.89,3.34
2021-01-04 11:00:00,3.54,4.25
2021-01-04 12:00:00,4.13,4.25
2021-01-04 13:00:00,3.68,4.25
2021-01-04 14:00:00,2.42,4.65
2021-01-04 15:00:00,0.16,4.29
2021-01-04 16:00:00,9.49,4.29
2021-01-04 17:00:00,4.87,3.76
2021-01-04 18:00:00,2.62,3.69
2021-01-04 19:00:00,4.79,4.04
2021-01-04 20:00:00,0.59,3.69
2021-01-04 21:00:00,0.0,3.69
2021-01-04 22:00:00,0.0,3.49
2021-01-04 23:00:00,0.0,3.14
2021-01-05 00:00:00,0.0,3.14
2021-01-05 01:00:00,0.0,2.58
2021-01-05 02:00:00,0.0,2.93
2021-01-05 03:00:00,0.0,2.93
2021-01-05 04:00:00,0.0,2.58
2021-01-05 05:00:00,0.45,2.58
2021-01-05 06:00:00,1.48,2.03
2021-01-05 07:00:00,2.5,2.38
2021-01-05 08:00:00,12.79,1.54
2021-01-05 09:00:00,7.67,2.03
2021-01-05 10:00:00,2.71,2.58
2021-01-05 11:00:00,0.45,3.49
2021-01-05 12:00:00,3.03,4.37
2021-01-05 13:00:00,1.75,4.63
2021-01-05 14:00:00,0.0,5.15
2021-01-05 15:00:00,5.91,4.99
2021-01-05 16:00:00,4.87,3.69
2021-01-05 17:00:00,6.35,3.14
2021-01-05 18:00:00,3.49,2.58
2021-01-05 19:00:00,3.19,3.14
2021-01-05 20:00:00,1.61,2.99
2021-01-05 21:00:00,0.0,2.58
2021-01-05 22:00:00,0.0,2.58
2021-01-05 23:00:00,0.0,2.03
2021-01-06 00:00:00,0.0,2.03
2021-01-06 01:00:00,0.0,1.67
2021-01-06 02:00:00,0.0,1.67
2021-01-06 03:00:00,0.0,2.03
2021-01-06 04:00:00,0.0,2.03
2021-01-06 05:00:00,0.54,1.67
2021-01-06 06:00:00,1.59,1.12
2021-01-06 07:00:00,9.95,1.12
2021-01-06 08:00:00,6.19,1.41
2021-01-06 09:00:00,4.34,1.67
2021-01-06 10:00:00,3.86,3.34
2021-01-06 11:00:00,3.87,4.04
2021-01-06 12:00:00,3.61,3.63
2021-01-06 13:00:00,3.19,3.7
2021-01-06 14:00:00,3.34,3.5
2021-01-06 15:00:00,1.45,3.5
2021-01-06 16:00:00,2.59,3.08
2021-01-06 17:00:00,2.88,2.97
2021-01-06 18:00:00,6.07,2.41
2021-01-06 19:00:00,3.63,2.41
2021-01-06 20:00:00,6.46,2.07
2021-01-06 21:00:00,0.0,2.04
2021-01-06 22:00:00,0.0,2.04
2021-01-06 23:00:00,0.0,1.14
2021-01-07 00:00:00,0.0,0.23
2021-01-07 01:00:00,0.0,0.21
2021-01-07 02:00:00,0.0,-1.28
2021-01-07 03:00:00,0.0,-2.18
2021-01-07 04:00:00,0.0,-2.31
2021-01-07 05:00:00,1.27,-2.18
2021-01-07 06:00:00,1.38,-1.81
2021-01-07 07:00:00,8.19,-2.15
2021-01-07 08:00:00,8.69,-2.52
2021-01-07 09:00:00,5.63,-2.13
2021-01-07 10:00:00,4.41,1.82
2021-01-07 11:00:00,2.89,0.68
2021-01-07 12:00:00,0.0,3.55
2021-01-07 13:00:00,0.0,3.23
2021-01-07 14:00:00,6.28,3.86
2021-01-07 15:00:00,3.58,3.01
2021-01-07 16:00:00,0.9,2.36
2021-01-07 17:00:00,3.4,0.57
2021-01-07 18:00:00,3.67,0.64
2021-01-07 19:00:00,2.12,0.42
2021-01-07 20:00:00,0.17,1.11
2021-01-07 21:00:00,0.0,1.46
2021-01-07 22:00:00,0.0,1.67
2021-01-07 23:00:00,0.0,1.88
2021-01-08 00:00:00,0.0,1.08
2021-01-08 01:00:00,0.0,1.88
2021-01-08 02:00:00,0.0,0.8
2021-01-08 03:00:00,0.0,0.8
2021-01-08 04:00:00,0.0,0.95
2021-01-08 05:00:00,0.0,1.43
2021-01-08 06:00:00,0.0,1.43
2021-01-08 07:00:00,8.8,1.56
2021-01-08 08:00:00,10.37,1.3
2021-01-08 09:00:00,7.59,1.7
2021-01-08 10:00:00,5.31,2.12
2021-01-08 11:00:00,5.14,2.95
2021-01-08 12:00:00,5.95,2.95
2021-01-08 13:00:00,4.35,3.4
2021-01-08 14:00:00,3.07,3.15
2021-01-08 15:00:00,3.68,2.95
2021-01-08 16:00:00,2.97,2.86
2021-01-08 17:00:00,3.79,2.39
2021-01-08 18:00:00,2.8,2.31
2021-01-08 19:00:00,0.81,1.97
2021-01-08 20:00:00,0.56,1.97
2021-01-08 21:00:00,0.0,1.84
2021-01-08 22:00:00,0.0,1.84
2021-01-08 23:00:00,0.0,1.41
2021-01-09 00:00:00,0.0,1.28
2021-01-09 01:00:00,0.0,0.72
2021-01-09 02:00:00,0.0,0.03
2021-01-09 03:00:00,0.0,-0.52
2021-01-09 04:00:00,0.0,0.46
2021-01-09 05:00:00,0.0,1.15
2021-01-09 06:00:00,0.11,1.15
2021-01-09 07:00:00,1.43,1.28
